Wall time,Step,Value
1669926341.127133,80,0.03921568766236305
1669926363.2239206,360,0.019607843831181526
1669926376.1496596,520,0.0470588244497776
1669926377.6831799,540,0.007843137718737125
1669926399.5605445,785,0.062745101749897
1669926410.9945424,925,0.04313725605607033
1669926412.575783,945,0.0313725508749485
1669926434.7222638,1225,0.054901961237192154
1669926436.280905,1245,0.062745101749897
1669926443.5095184,1310,0.054901961237192154
1669926449.80063,1390,0.05098039284348488
1669926459.23322,1510,0.0117647061124444
1669926467.1669242,1610,0.027450980618596077
1669926478.6987367,1750,0.04313725605607033
1669926495.7731707,1935,0.019607843831181526
1669926502.0953765,2015,0.019607843831181526
1669926508.484983,2095,0.027450980618596077
1669926530.850532,2375,0.04313725605607033
1669926537.231141,2455,0.054901961237192154
1669926538.7172003,2475,0.0313725508749485
1669926543.0053005,2500,0.03529411926865578
1669926546.129294,2540,0.01568627543747425
1669926555.686316,2660,0.03921568766236305
1669926568.7425888,2820,0.0313725508749485
1669926573.4929454,2880,0.054901961237192154
1669926589.7701695,3080,0.054901961237192154
1669926595.7955766,3125,0.0313725508749485
1669926599.101923,3165,0.05098039284348488
1669926602.2449968,3205,0.04313725605607033
1669926615.3776777,3365,0.01568627543747425
1669926623.89528,3465,0.03921568766236305
1669926647.08812,3745,0.027450980618596077
1669926649.6344423,3750,0.0117647061124444
1669926667.8957717,3970,0.01568627543747425
1669926671.1193433,4010,0.019607843831181526
1669926684.3679087,4170,0.05098039284348488
1669926711.2010965,4475,0.03921568766236305
1669926735.5120606,4775,0.007843137718737125
1669926737.228436,4795,0.0117647061124444
1669926759.1285439,5040,0.054901961237192154
1669926760.7090204,5060,0.054901961237192154
1669926779.946596,5300,0.05098039284348488
1669926784.865316,5360,0.03921568766236305
1669926797.8589168,5520,0.019607843831181526
1669926802.781636,5580,0.0313725508749485
1669926811.756616,5665,0.05882352963089943
1669926819.838247,5765,0.03529411926865578
1669926841.2316647,6025,0.0235294122248888
1669926854.819567,6185,0.0117647061124444
1669926858.0026624,6225,0.03921568766236305
1669926859.5578723,6245,0.04313725605607033
1669926865.4637234,6290,0.04313725605607033
1669926903.125667,6750,0.03529411926865578
1669926904.740132,6770,0.0470588244497776
1669926925.4332442,6995,0.05882352963089943
1669926935.275079,7115,0.019607843831181526
1669926936.894315,7135,0.01568627543747425
1669926938.5996757,7155,0.05882352963089943
1669926958.0979824,7395,0.01568627543747425
1669926972.0912287,7540,0.0470588244497776
1669926978.629971,7620,0.062745101749897
1669926981.9702933,7660,0.05882352963089943
1669926990.364219,7760,0.0235294122248888
1669926998.5261748,7860,0.03529411926865578
1669927001.7720358,7900,0.0117647061124444
1669927019.690184,8120,0.054901961237192154
1669927030.2526891,8225,0.0313725508749485
1669927031.9566698,8245,0.0117647061124444
1669927054.70125,8525,0.05098039284348488
1669927056.2613325,8545,0.04313725605607033
1669927059.462655,8585,0.062745101749897
1669927071.1894934,8725,0.007843137718737125
1669927081.8754182,8830,0.019607843831181526
1669927097.224151,9010,0.062745101749897
1669927103.9260442,9090,0.03921568766236305
1669927108.776029,9150,0.0235294122248888
1669927112.0111485,9190,0.054901961237192154
1669927118.3197777,9270,0.0470588244497776
1669927119.986241,9290,0.062745101749897
1669927128.999017,9375,0.0235294122248888
1669927130.6180446,9395,0.05098039284348488
1669927140.2216353,9515,0.0313725508749485
1669927176.3685253,9975,0.0235294122248888
1669927180.3450315,10000,0.03529411926865578
1669927181.8532586,10020,0.019607843831181526
1669927183.5176363,10040,0.0235294122248888
1669927188.2997715,10100,0.0470588244497776
1669927191.4027622,10140,0.04313725605607033
1669927213.658994,10420,0.03529411926865578
1669927215.2460325,10440,0.0313725508749485
1669927218.387871,10480,0.062745101749897
1669927221.6703317,10520,0.062745101749897
1669927224.9134674,10560,0.019607843831181526
1669927232.1541111,10625,0.027450980618596077
1669927235.3782275,10665,0.03921568766236305
1669927241.8561563,10745,0.0470588244497776
1669927245.0282538,10785,0.05098039284348488
1669927251.4401188,10865,0.0313725508749485
1669927260.94065,10985,0.03921568766236305
1669927264.183417,11025,0.05098039284348488
1669927270.659959,11105,0.007843137718737125
1669927296.8995624,11410,0.05882352963089943
1669927306.2904274,11530,0.007843137718737125
1669927312.6337316,11610,0.054901961237192154
1669927315.767635,11650,0.03921568766236305
1669927343.5316133,11975,0.0470588244497776
1669927345.1696234,11995,0.019607843831181526
1669927357.7484508,12155,0.03921568766236305
1669927359.3333418,12175,0.0117647061124444
1669927367.1574552,12275,0.01568627543747425
1669927368.8225255,12295,0.03921568766236305
1669927381.3664944,12455,0.0470588244497776
1669927391.8359416,12560,0.062745101749897
1669927393.411593,12580,0.05882352963089943
1669927401.5974407,12680,0.03529411926865578
