Wall time,Step,Value
1669926341.1257842,80,1.8390326499938965
1669926363.2229671,360,1.5553542375564575
1669926376.1488605,520,1.2827370166778564
1669926377.6823177,540,1.6086485385894775
1669926399.560056,785,1.2161765098571777
1669926410.9935076,925,1.2187409400939941
1669926412.5749822,945,1.1167935132980347
1669926434.721456,1225,1.2304420471191406
1669926436.2801118,1245,1.1274917125701904
1669926443.5087383,1310,0.9999920129776001
1669926449.799769,1390,1.3238550424575806
1669926459.2327414,1510,1.109684944152832
1669926467.166101,1610,1.0820804834365845
1669926478.697601,1750,1.0054302215576172
1669926495.772415,1935,0.8800489902496338
1669926502.094563,2015,0.9127110838890076
1669926508.4842143,2095,1.1278531551361084
1669926530.8496854,2375,0.9698034524917603
1669926537.2303321,2455,1.155155062675476
1669926538.7163835,2475,1.0749610662460327
1669926543.004336,2500,0.6932470202445984
1669926546.1284828,2540,0.8450239300727844
1669926555.6854906,2660,0.8656148314476013
1669926568.741804,2820,0.8043307065963745
1669926573.4921896,2880,0.7123684883117676
1669926589.7693474,3080,0.7390938997268677
1669926595.7945232,3125,0.8232480883598328
1669926599.1011431,3165,0.7754061222076416
1669926602.2441897,3205,0.6631755828857422
1669926615.3769193,3365,0.8316711187362671
1669926623.8943405,3465,0.6676667332649231
1669926647.0873368,3745,0.7421613931655884
1669926649.6335368,3750,0.8509066700935364
1669926667.8950405,3970,0.887766420841217
1669926671.118518,4010,0.7419067025184631
1669926684.367106,4170,0.5951328277587891
1669926711.2002113,4475,0.7246392965316772
1669926735.511071,4775,0.7030594944953918
1669926737.2276094,4795,0.3924933671951294
1669926759.127699,5040,0.8758376240730286
1669926760.708211,5060,0.5852183699607849
1669926779.9457226,5300,0.6075933575630188
1669926784.8645773,5360,0.4757327735424042
1669926797.8581033,5520,0.6081163883209229
1669926802.78084,5580,0.39151304960250854
1669926811.7558503,5665,0.6195918321609497
1669926819.8374908,5765,0.46281811594963074
1669926841.2307105,6025,0.5360875725746155
1669926854.8187568,6185,0.3113018572330475
1669926858.0017993,6225,0.41099581122398376
1669926859.5570538,6245,0.4915306866168976
1669926865.4628444,6290,0.47082746028900146
1669926903.1248114,6750,0.6173463463783264
1669926904.73917,6770,0.3414332866668701
1669926925.43228,6995,0.29222092032432556
1669926935.2743104,7115,0.2814680337905884
1669926936.8940032,7135,0.6704257726669312
1669926938.5988672,7155,0.48039811849594116
1669926958.0970645,7395,0.519629716873169
1669926972.0901706,7540,0.4166000783443451
1669926978.6290667,7620,0.48415595293045044
1669926981.9693246,7660,0.5021492838859558
1669926990.3637607,7760,0.5101395845413208
1669926998.5253758,7860,0.5169733166694641
1669927001.7711916,7900,0.317411333322525
1669927019.6893847,8120,0.40106749534606934
1669927030.251838,8225,0.23515988886356354
1669927031.95583,8245,0.6695144772529602
1669927054.7003968,8525,0.3859047293663025
1669927056.2605524,8545,0.4133639931678772
1669927059.4616745,8585,0.5329095125198364
1669927071.1886048,8725,0.3566470742225647
1669927081.8745542,8830,0.3676140308380127
1669927097.2233756,9010,0.5000079274177551
1669927103.9251575,9090,0.33384421467781067
1669927108.7750313,9150,0.5110427737236023
1669927112.0102835,9190,0.5067285895347595
1669927118.3190203,9270,0.6064093708992004
1669927119.9854324,9290,0.48001420497894287
1669927128.998033,9375,0.48048195242881775
1669927130.617274,9395,0.5878675580024719
1669927140.2207956,9515,0.39884498715400696
1669927176.367637,9975,0.5947125554084778
1669927180.344125,10000,0.44554775953292847
1669927181.8523984,10020,0.42047062516212463
1669927183.516769,10040,0.440415620803833
1669927188.2989814,10100,0.47000813484191895
1669927191.401963,10140,0.686762809753418
1669927213.6581435,10420,0.35832494497299194
1669927215.245534,10440,0.33428946137428284
1669927218.387013,10480,0.4292409420013428
1669927221.6695523,10520,0.35023927688598633
1669927224.9129808,10560,0.47547945380210876
1669927232.1531322,10625,0.4251592457294464
1669927235.3774605,10665,0.2589888274669647
1669927241.8552732,10745,0.19362112879753113
1669927245.0274699,10785,0.41730037331581116
1669927251.4392028,10865,0.2944139540195465
1669927260.9396005,10985,0.36360299587249756
1669927264.1826916,11025,0.39263615012168884
1669927270.659094,11105,0.39545267820358276
1669927296.8987825,11410,0.40953707695007324
1669927306.2895923,11530,0.37041106820106506
1669927312.6329336,11610,0.40702107548713684
1669927315.7667794,11650,0.40714702010154724
1669927343.5308542,11975,0.2751390039920807
1669927345.1687703,11995,0.3832490146160126
1669927357.7476563,12155,0.4029815196990967
1669927359.332466,12175,0.4179605543613434
1669927367.1566775,12275,0.37309786677360535
1669927368.82165,12295,0.5100178718566895
1669927381.3655052,12455,0.3741391599178314
1669927391.8349996,12560,0.30303046107292175
1669927393.4107623,12580,0.469165176153183
1669927401.596686,12680,0.5292820334434509
1669927415.9221816,12860,0.31388920545578003
1669927419.0892625,12900,0.4461804926395416
1669927430.3445659,13040,0.31385162472724915
1669927443.8662724,13185,0.6697908639907837
1669927445.3896348,13205,0.435954749584198
1669927458.1379764,13365,0.3002749979496002
1669927470.6773798,13525,0.34262001514434814
1669927473.8869731,13565,0.27876564860343933
1669927499.9059875,13870,0.32577359676361084
1669927517.04344,14090,0.32284262776374817
1669927520.0355632,14130,0.4312332272529602
1669927523.2571275,14170,0.36224278807640076
1669927527.955427,14230,0.5089229941368103
1669927532.6213,14290,0.36695733666419983
1669927534.2588418,14310,0.5156893730163574
1669927554.1111696,14535,0.2371257245540619
1669927585.9275424,14935,0.3770627975463867
1669927604.1184993,15140,0.7150746583938599
1669927605.7056267,15160,0.4952750504016876
1669927615.1802573,15280,0.38302552700042725
1669927624.6253273,15400,0.21691066026687622
1669927650.6489332,15705,0.25031641125679016
1669927652.183433,15725,0.3472948372364044
1669927655.4230561,15765,0.2612129747867584
1669927674.2326748,16005,0.3546053171157837
1669927695.9704878,16250,0.24391165375709534
1669927708.9036207,16410,0.3043069541454315
1669927713.7506568,16470,0.35956674814224243
1669927736.2968597,16750,0.3909966051578522
1669927744.145502,16850,0.3657512068748474
1669927751.3766923,16915,0.3139500617980957
1669927759.4149182,17015,0.387960284948349
1669927783.2784271,17315,0.31080344319343567
1669927801.3573663,17520,0.3074617087841034
1669927807.7094436,17600,0.4611957371234894
1669927818.7286813,17740,0.4730888307094574
1669927854.2652285,18165,0.4535234272480011
1669927857.4965746,18205,0.3793129622936249
1669927873.73617,18405,0.3507746756076813
1669927885.1733334,18545,0.3554266095161438
1669927908.5271745,18810,0.26265448331832886
1669927934.8961663,19130,0.40430665016174316
1669927939.6577754,19190,0.3059820532798767
1669927959.4102848,19415,0.266122043132782
1669927967.6046848,19515,0.1937338411808014
1669927972.348453,19575,0.326435387134552
1669927975.490518,19615,0.2208671122789383
1669927992.95537,19835,0.43586257100105286
1669928004.0042102,19975,0.23872512578964233
1669928011.0546813,20040,0.4248269498348236
1669928014.298126,20080,0.22076664865016937
1669928028.4805875,20260,0.32188308238983154
1669928059.1253016,20625,0.21743646264076233
1669928080.9440022,20905,0.23384763300418854
1669928082.5817773,20925,0.4147779047489166
1669928085.7756295,20965,0.3973008096218109
1669928092.034555,21045,0.19225582480430603
1669928106.1720822,21225,0.30793964862823486
1669928125.844481,21450,0.28414469957351685
1669928132.1908147,21530,0.4006103575229645
1669928135.307574,21570,0.5038308501243591
1669928139.8831656,21630,0.49558398127555847
1669928143.1453323,21670,0.23950667679309845
1669928146.377015,21710,0.32793474197387695
1669928162.79046,21895,0.32360145449638367
1669928169.1405938,21975,0.3532218039035797
1669928180.418061,22115,0.2767941653728485
1669928183.5723732,22155,0.3219379484653473
1669928191.3953009,22255,0.35818737745285034
1669928202.5658798,22395,0.3584558069705963
1669928210.283876,22495,0.25408390164375305
1669928212.643852,22500,0.27748993039131165
1669928231.5123684,22740,0.34247860312461853
1669928247.3069308,22940,0.27543336153030396
1669928250.4866087,22980,0.30411064624786377
1669928252.0887682,23000,0.2150312066078186
1669928264.0805495,23125,0.41745275259017944
1669928272.0641937,23225,0.5405294299125671
1669928278.3359103,23305,0.21447797119617462
1669928279.911168,23325,0.32206785678863525
1669928299.0429168,23565,0.44126904010772705
1669928311.5656822,23725,0.2997826635837555
1669928318.6764128,23790,0.3673187792301178
1669928326.5688906,23890,0.32599252462387085
1669928329.767347,23930,0.19800947606563568
1669928359.3834083,24310,0.3681168258190155
1669928362.4235446,24350,0.4210613965988159
1669928370.9416173,24435,0.4792729914188385
1669928372.4357622,24455,0.2535444498062134
1669928375.5552585,24495,0.28423210978507996
1669928380.355779,24555,0.2833435535430908
1669928386.650916,24635,0.23123493790626526
1669928396.2611306,24755,0.2505253255367279
1669928402.612989,24835,0.2793145179748535
1669928410.4917955,24935,0.21972578763961792
1669928420.7866852,25040,0.3104654848575592
1669928425.4521906,25100,0.21027204394340515
1669928433.5144281,25200,0.3626902997493744
1669928446.2175272,25360,0.34257933497428894
1669928452.6066487,25440,0.21740935742855072
1669928458.92903,25520,0.2886912524700165
1669928474.1008587,25685,0.4426161050796509
1669928484.9631722,25825,0.3383294343948364
1669928489.8579757,25885,0.2832343578338623
1669928491.3491695,25905,0.253551185131073
1669928505.637817,26085,0.4284980297088623
1669928522.2818365,26270,0.11377862840890884
1669928545.904375,26570,0.3880346417427063
1669928552.073957,26650,0.3559029698371887
1669928569.5502923,26870,0.5236060619354248
1669928571.8813093,26875,0.2719763517379761
1669928578.0932262,26955,0.40195173025131226
1669928598.5183253,27215,0.3109993040561676
1669928637.3680124,27680,0.2543050944805145
1669928670.392982,28100,0.3023745119571686
1669928671.8899136,28120,0.2302846908569336
1669928688.4136782,28305,0.313300758600235
1669928700.9698155,28465,0.4030335545539856
1669928702.5441952,28485,0.34442129731178284
1669928707.1992414,28545,0.35552412271499634
1669928728.4124897,28790,0.2207440435886383
1669928731.3748527,28830,0.34341001510620117
1669928748.224974,29050,0.21888895332813263
1669928753.0053647,29110,0.2483024299144745
1669928759.255666,29190,0.47081679105758667
1669928765.647588,29270,0.4850916266441345
1669928771.86277,29350,0.24970605969429016
1669928783.506771,29475,0.22113001346588135
1669928785.0739057,29495,0.4248163402080536
1669928789.695034,29555,0.338113397359848
1669928794.4563158,29615,0.12457165122032166
1669928813.703827,29855,0.33646753430366516
1669928823.3218389,29975,0.4570389986038208
1669928830.4762313,30040,0.3686756491661072
1669928846.2828586,30240,0.13131563365459442
1669928851.074003,30300,0.3094196617603302
1669928872.8011384,30580,0.35525375604629517
1669928878.311383,30625,0.3918505907058716
1669928886.2946234,30725,0.21752899885177612
1669928890.973112,30785,0.3120422959327698
1669928905.3370733,30965,0.22473500669002533
1669928922.7847967,31185,0.5084704756736755
1669928931.4081542,31270,0.2694299519062042
1669928934.6218932,31310,0.16354794800281525
1669928972.9686842,31790,0.37701788544654846
1669928986.8909552,31935,0.569887638092041
1669928990.1709,31975,0.2973920404911041
1669928995.1696448,32035,0.3168491721153259
1669929004.995246,32155,0.32748568058013916
1669929006.6039248,32175,0.29365840554237366
1669929017.7076857,32315,0.29598209261894226
1669929030.2660134,32475,0.46665364503860474
1669929037.5201488,32540,0.4297412037849426
1669929043.9543219,32620,0.4423538148403168
1669929055.1819959,32760,0.3326219916343689
1669929058.452568,32800,0.21296578645706177
1669929068.2845879,32920,0.19172373414039612
1669929082.8867188,33100,0.24123583734035492
1669929096.6890862,33245,0.18372173607349396
1669929099.903272,33285,0.23217235505580902
1669929104.8536232,33345,0.34081318974494934
1669929109.7892826,33405,0.14796648919582367
1669929111.3649487,33425,0.49602848291397095
1669929122.5982196,33565,0.2927163243293762
1669929130.9467561,33665,0.40062445402145386
1669929143.3619795,33790,0.1906314641237259
1669929158.002961,33970,0.2032751739025116
1669929164.835012,34050,0.3233232796192169
1669929168.0736988,34090,0.24473965167999268
1669929182.7473412,34270,0.3298744559288025
1669929200.9768112,34475,0.33907678723335266
1669929216.9841928,34675,0.4658646881580353
1669929220.146401,34715,0.20340079069137573
1669929231.1740613,34855,0.3474872410297394
1669929239.2101247,34955,0.30864912271499634
1669929244.7654574,35000,0.22299672663211823
1669929257.5442395,35160,0.4654172956943512
1669929287.5171013,35540,0.28935906291007996
1669929306.208035,35745,0.18658383190631866
1669929332.9270413,36085,0.44152531027793884
1669929339.2718008,36165,0.23432493209838867
1669929354.3257694,36330,0.26711907982826233
1669929362.1642864,36430,0.5182691812515259
1669929363.796643,36450,0.261540949344635
1669929365.3273337,36470,0.30862802267074585
1669929399.7568803,36875,0.4475463926792145
1669929416.983898,37095,0.2457343339920044
1669929421.7714465,37155,0.2544320225715637
1669929431.247105,37275,0.36759668588638306
1669929432.740487,37295,0.36593174934387207
1669929439.217869,37375,0.19532178342342377
1669929447.225782,37475,0.29501304030418396
1669929457.5639648,37580,0.3046124577522278
1669929459.1186779,37600,0.31038951873779297
1669929476.678891,37820,0.279845267534256
1669929482.9700267,37900,0.3044753074645996
1669929484.5410576,37920,0.25191956758499146
1669929490.8753262,38000,0.2589466869831085
1669929494.1495962,38040,0.2885148823261261
1669929509.208978,38205,0.36977052688598633
1669929515.3661282,38285,0.35342228412628174
1669929516.9454172,38305,0.4691336452960968
1669929520.0993924,38345,0.5076615214347839
1669929521.6506135,38365,0.3856496214866638
1669929524.7800238,38405,0.3142842650413513
1669929542.2214837,38625,0.40031468868255615
1669929545.3426058,38665,0.33907729387283325
1669929559.0501616,38810,0.25432559847831726
1669929560.66122,38830,0.4583234190940857
1669929565.559485,38890,0.29683876037597656
1669929621.8357716,39575,0.3504607081413269
1669929655.6861222,39995,0.19208785891532898
1669929669.6306808,40140,0.18845175206661224
1669929688.9178498,40380,0.23400692641735077
1669929693.857018,40440,0.39076924324035645
1669929708.094841,40620,0.3344101309776306
1669929724.8191533,40805,0.347638875246048
1669929737.4061987,40965,0.12552066147327423
1669929742.0879443,41025,0.2541227638721466
1669929746.9359303,41085,0.225337415933609
1669929756.7208955,41205,0.2863105237483978
1669929765.5236268,41290,0.20948238670825958
1669929767.1830127,41310,0.23371249437332153
1669929773.5745687,41390,0.30561530590057373
1669929775.1909692,41410,0.3260836899280548
1669929786.3424833,41550,0.17861320078372955
1669929805.6881292,41790,0.270602285861969
1669929838.7649367,42175,0.23433813452720642
1669929854.7594535,42375,0.2456662654876709
1669929884.4485955,42720,0.3005286455154419
1669929895.6683915,42860,0.18090954422950745
1669929907.014976,43000,0.5783131122589111
1669929920.6545732,43145,0.31228578090667725
1669929923.877644,43185,0.21563629806041718
1669929930.3019106,43265,0.30651965737342834
1669929939.7106872,43385,0.2571629285812378
1669929945.8670516,43465,0.22336626052856445
1669929964.0252104,43685,0.2555743157863617
1669929969.00142,43745,0.38073623180389404
1669929977.7771325,43830,0.1899109184741974
1669929998.9870913,44090,0.19717979431152344
1669930039.131665,44555,0.4301976263523102
1669930077.8127086,45020,0.2649174630641937
1669930079.3971756,45040,0.25305354595184326
1669930095.5107465,45240,0.17680290341377258
1669930100.3549385,45300,0.23814702033996582
1669930108.3059592,45400,0.2095349133014679
1669930120.8720415,45560,0.2620786726474762
1669930137.4753807,45745,0.475745290517807
1669930153.417613,45945,0.21298637986183167
1669930164.4638429,46085,0.26397794485092163
1669930212.410265,46670,0.2725062668323517
1669930219.0284562,46750,0.1956358700990677
1669930220.724658,46770,0.2358940690755844
1669930227.2983074,46850,0.23162776231765747
1669930276.9541614,47435,0.23534062504768372
1669930281.7703924,47495,0.3817789852619171
1669930289.0361843,47560,0.1703241467475891
1669930290.5809877,47580,0.23034042119979858
1669930298.789651,47680,0.14364837110042572
1669930320.053086,47940,0.22352337837219238
1669930333.6632352,48100,0.2812131643295288
1669930339.3644178,48145,0.30532997846603394
1669930372.5199847,48545,0.39414694905281067
1669930385.2025177,48705,0.31331613659858704
1669930393.9663777,48790,0.38248690962791443
1669930397.1677365,48830,0.4290984869003296
1669930402.1082387,48890,0.3253723680973053
1669930405.409012,48930,0.348542720079422
1669930406.9826217,48950,0.22165970504283905
1669930425.0803661,49170,0.14420892298221588
1669930426.7149856,49190,0.18472813069820404
1669930428.3184457,49210,0.08110444247722626
1669930431.501487,49250,0.4634619951248169
